ObjectName,v1x,v1y,v1z,v2x,v2y,v2z,v3x,v3y,v3z
BlockPlatform1B,592,450.0001,5344,1092,49.9999,5344,1092,450.0001,5344
BlockPlatform1B,592,450.0001,5344,592,49.9999,5344,1092,49.9999,5344
BlockPlatform1B,92,450.0001,5344,592,49.9999,5344,592,450.0001,5344
BlockPlatform1B,92,450.0001,5344,92,49.9999,5344,592,49.9999,5344
BlockPlatform1B,1092,450.0001,4769,1092,49.9999,4769,1092,49.9999,4744
BlockPlatform1B,1092,450.0001,4769,1092,49.9999,4744,1092,450.0001,4744
BlockPlatform1B,592,49.9999,5319,1092,49.9999,5319,1092,49.9999,5344
BlockPlatform1B,592,49.9999,5319,1092,49.9999,5344,592,49.9999,5344
BlockPlatform1B,92,49.9999,5319,592,49.9999,5319,592,49.9999,5344
BlockPlatform1B,92,49.9999,5319,592,49.9999,5344,92,49.9999,5344
BlockPlatform1B,1092,450.0001,5344,1092,49.9999,5344,1092,49.9999,5319
BlockPlatform1B,1092,450.0001,5344,1092,49.9999,5319,1092,450.0001,5319
BlockPlatform1B,1092,450.0001,5319,1092,49.9999,5319,1092,49.9999,4769
BlockPlatform1B,1092,450.0001,5319,1092,49.9999,4769,1092,450.0001,4769
BlockPlatform1B,592,49.9999,4744,1092,49.9999,4744,1092,49.9999,4769
BlockPlatform1B,592,49.9999,4744,1092,49.9999,4769,592,49.9999,4769
BlockPlatform1B,92,49.9999,4744,592,49.9999,4744,592,49.9999,4769
BlockPlatform1B,92,49.9999,4744,592,49.9999,4769,92,49.9999,4769
BlockPlatform1B,592,49.9999,4769,1092,49.9999,4769,1092,49.9999,5319
BlockPlatform1B,592,49.9999,4769,1092,49.9999,5319,592,49.9999,5319
BlockPlatform1B,92,49.9999,4769,592,49.9999,4769,592,49.9999,5319
BlockPlatform1B,92,49.9999,4769,592,49.9999,5319,92,49.9999,5319
BlockPlatform1B,592,450.0001,4744,92,450.0001,4744,92,450.0001,4769
BlockPlatform1B,592,450.0001,4744,92,450.0001,4769,592,450.0001,4769
BlockPlatform1B,1092,450.0001,4744,592,450.0001,4744,592,450.0001,4769
BlockPlatform1B,1092,450.0001,4744,592,450.0001,4769,1092,450.0001,4769
BlockPlatform1B,592,450.0001,4769,92,450.0001,4769,92,450.0001,5319
BlockPlatform1B,592,450.0001,4769,92,450.0001,5319,592,450.0001,5319
BlockPlatform1B,1092,450.0001,4769,592,450.0001,4769,592,450.0001,5319
BlockPlatform1B,1092,450.0001,4769,592,450.0001,5319,1092,450.0001,5319
BlockPlatform1B,1092,450.0001,4744,1092,49.9999,4744,592,49.9999,4744
BlockPlatform1B,1092,450.0001,4744,592,49.9999,4744,592,450.0001,4744
BlockPlatform1B,592,450.0001,4744,592,49.9999,4744,92,49.9999,4744
BlockPlatform1B,592,450.0001,4744,92,49.9999,4744,92,450.0001,4744
BlockPlatform1B,1092,450.0001,5319,592,450.0001,5344,1092,450.0001,5344
BlockPlatform1B,1092,450.0001,5319,592,450.0001,5319,592,450.0001,5344
BlockPlatform1B,592,450.0001,5319,92,450.0001,5344,592,450.0001,5344
BlockPlatform1B,592,450.0001,5319,92,450.0001,5319,92,450.0001,5344
BlockPlatform1B,-908,450.0001,5319,-908,49.9999,5319,-908,49.9999,5344
BlockPlatform1B,-908,450.0001,5319,-908,49.9999,5344,-908,450.0001,5344
BlockPlatform1B,-408,450.0001,4744,-908,49.9999,4744,-908,450.0001,4744
BlockPlatform1B,-408,450.0001,4744,-408,49.9999,4744,-908,49.9999,4744
BlockPlatform1B,92,450.0001,4744,-408,49.9999,4744,-408,450.0001,4744
BlockPlatform1B,92,450.0001,4744,92,49.9999,4744,-408,49.9999,4744
BlockPlatform1B,-408,450.0001,5319,-908,450.0001,5319,-908,450.0001,5344
BlockPlatform1B,-408,450.0001,5319,-908,450.0001,5344,-408,450.0001,5344
BlockPlatform1B,92,450.0001,5319,-408,450.0001,5319,-408,450.0001,5344
BlockPlatform1B,92,450.0001,5319,-408,450.0001,5344,92,450.0001,5344
BlockPlatform1B,-908,450.0001,4744,-908,49.9999,4744,-908,49.9999,4769
BlockPlatform1B,-908,450.0001,4744,-908,49.9999,4769,-908,450.0001,4769
BlockPlatform1B,-908,450.0001,4769,-908,49.9999,4769,-908,49.9999,5319
BlockPlatform1B,-908,450.0001,4769,-908,49.9999,5319,-908,450.0001,5319
BlockPlatform1B,-408,450.0001,4744,-908,450.0001,4744,-908,450.0001,4769
BlockPlatform1B,-408,450.0001,4744,-908,450.0001,4769,-408,450.0001,4769
BlockPlatform1B,92,450.0001,4744,-408,450.0001,4744,-408,450.0001,4769
BlockPlatform1B,92,450.0001,4744,-408,450.0001,4769,92,450.0001,4769
BlockPlatform1B,-408,450.0001,4769,-908,450.0001,4769,-908,450.0001,5319
BlockPlatform1B,-408,450.0001,4769,-908,450.0001,5319,-408,450.0001,5319
BlockPlatform1B,92,450.0001,4769,-408,450.0001,4769,-408,450.0001,5319
BlockPlatform1B,92,450.0001,4769,-408,450.0001,5319,92,450.0001,5319
BlockPlatform1B,-908,450.0001,5344,-908,49.9999,5344,-408,49.9999,5344
BlockPlatform1B,-908,450.0001,5344,-408,49.9999,5344,-408,450.0001,5344
BlockPlatform1B,-408,450.0001,5344,-408,49.9999,5344,92,49.9999,5344
BlockPlatform1B,-408,450.0001,5344,92,49.9999,5344,92,450.0001,5344
BlockPlatform1B,-908,49.9999,5319,-408,49.9999,5344,-908,49.9999,5344
BlockPlatform1B,-908,49.9999,5319,-408,49.9999,5319,-408,49.9999,5344
BlockPlatform1B,-408,49.9999,5319,92,49.9999,5344,-408,49.9999,5344
BlockPlatform1B,-408,49.9999,5319,92,49.9999,5319,92,49.9999,5344
BlockPlatform1B,-908,49.9999,4744,-408,49.9999,4769,-908,49.9999,4769
BlockPlatform1B,-908,49.9999,4744,-408,49.9999,4744,-408,49.9999,4769
BlockPlatform1B,-408,49.9999,4744,92,49.9999,4769,-408,49.9999,4769
